Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United Kingdom,Social Media Advertising,Reach by social network,Sina Weibo,million users,Statista,0.499,0.57,0.597,0.63,0.609,0.609,0.609,0.609,0.609,0.609
United Kingdom,Social Media Advertising,Reach by social network,Snapchat,million users,Statista,9.728,12.593,16.301,21.1,23.059,25.021,26.403,27.348,27.983,29.046
United Kingdom,Social Media Advertising,Reach by social network,TikTok,million users,Statista,1.201,3.54,5.88,9.72,10.829,12.416,13.891,15.319,16.727,18.17
United Kingdom,Social Media Advertising,Reach by social network,Tumblr,million users,Statista,3.994,3.926,2.518,1.604,1.269,1.172,1.146,1.139,1.137,1.123
United Kingdom,Social Media Advertising,Reach by social network,Twitter,million users,Statista,14.76,15.39,16.434,17.478,17.92,18.501,19.025,19.518,19.994,20.496
United Kingdom,Social Media Advertising,Reach by social network,Vkontakte,million users,Statista,0.118,0.118,0.124,0.126,0.127,0.129,0.13,0.132,0.134,0.135
United Kingdom,Social Media Advertising,Reach by social network,WeChat,million users,Statista,2.934,4.199,5.5,4.407,4.52,4.634,4.747,4.86,4.974,5.087
United Kingdom,Social Media Advertising,Reach by social network,Xing,million users,Statista,0.114,0.123,0.128,0.14,0.149,0.157,0.165,0.173,0.18,0.188
United Kingdom,Banner Advertising,Ad Spending,Total,million USD (US$),Statista,"4,673.836","5,793.646","6,450.634","7,391.38","8,784.245","9,540.152","10,022.296","10,443.622","10,812.961","11,240.16"
United Kingdom,Banner Advertising,Ad Spending,Banner Advertising Desktop,million USD (US$),Statista,"2,398.761","2,766.718","2,906.21","3,170.856","3,629.858","3,828.903","3,912.662","3,968.906","3,997.442","4,037.692"
United Kingdom,Banner Advertising,Ad Spending,Banner Advertising Mobile,million USD (US$),Statista,"2,275.075","3,026.928","3,544.423","4,220.524","5,154.387","5,711.249","6,109.635","6,474.716","6,815.519","7,202.469"
United Kingdom,Banner Advertising,Ad Spending Growth,Total,percent,Statista,,23.959,11.34,14.584,18.844,8.605,5.054,4.204,3.537,3.951
United Kingdom,Banner Advertising,Ad Spending Growth,Banner Advertising Desktop,percent,Statista,,15.339,5.042,9.106,14.476,5.484,2.188,1.437,0.719,1.007
United Kingdom,Banner Advertising,Ad Spending Growth,Banner Advertising Mobile,percent,Statista,,33.047,17.096,19.075,22.127,10.804,6.975,5.976,5.264,5.677
United Kingdom,Banner Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,79.658,96.582,105.548,119.083,139.734,150.182,156.414,161.802,166.462,172.063
United Kingdom,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Desktop,USD (US$),Statista,40.883,46.122,47.553,51.086,57.741,60.275,61.063,61.49,61.539,61.809
United Kingdom,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Mobile,USD (US$),Statista,38.775,50.46,57.995,67.997,81.993,89.907,95.351,100.312,104.923,110.255
United Kingdom,Digital Advertising,Ad Spending by Segment,Total,million USD (US$),Statista,"16,742.839","19,765.434","21,153.169","22,346.58","27,215.065","30,213.714","32,308.51","34,337.17","36,413.809","38,649.787"
United Kingdom,Digital Advertising,Ad Spending by Segment,Banner Advertising,million USD (US$),Statista,"4,673.836","5,793.646","6,450.634","7,391.38","8,784.245","9,540.152","10,022.296","10,443.622","10,812.961","11,240.16"
United Kingdom,Digital Advertising,Ad Spending by Segment,Classifieds,million USD (US$),Statista,"1,675.222","1,803.766","1,788.108","1,701.194","1,950.615","2,074.212","2,128.675","2,164.898","2,200.673","2,240.11"
United Kingdom,Digital Advertising,Ad Spending by Segment,Search Advertising,million USD (US$),Statista,"8,006","9,153.758","9,514.696","9,549.483","11,698.141","13,091.908","14,108.339","15,167.873","16,285.712","17,429.251"
United Kingdom,Digital Advertising,Ad Spending by Segment,Video Advertising,million USD (US$),Statista,"2,387.781","3,014.264","3,399.731","3,704.523","4,782.064","5,507.442","6,049.199","6,560.777","7,114.464","7,740.266"
United Kingdom,Digital Advertising,Ad Spending Growth by Segment,Total,percent,Statista,,18.053,7.021,5.642,21.786,11.018,6.933,6.279,6.048,6.14
United Kingdom,Digital Advertising,Ad Spending Growth by Segment,Banner Advertising,percent,Statista,,23.959,11.34,14.584,18.844,8.605,5.054,4.204,3.537,3.951
